Seed,Species,Shiny,EC,PID,Tera Type,HP,Atk,Def,SpA,SpD,Spe,Ability,Nature,Gender,Height,Weight,Scale,Drops
89A491B3,Bounsweet,Yes,AC41FC0E,17220599,Ice,31,25,2,7,27,6,Leaf Guard,Gentle,Female,205,166,158,0
8CC18E0D,Pichu,Yes,AF5EF868,A877201F,Steel,1,26,9,11,31,11,Static,Modest,Male,120,134,158,0
955C29F1,Flittle,Yes,B7F9944C,035828F0,Electric,31,14,31,19,10,16,Frisk,Rash,Male,82,151,158,0
9671120E,Ralts,Yes,B90E7C69,6F0EDF09,Fire,29,6,28,25,20,31,Synchronize,Careful,Female,120,160,158,0
9DF8BC68,Swablu,Yes,C09626C3,9CBDCDFC,Poison,31,4,5,28,28,13,Natural Cure,Hardy,Male,157,170,158,0
9F7780C6,Sunkern,Yes,C214EB21,5EDDA249,Fighting,31,22,20,23,21,3,Chlorophyll,Lax,Female,125,210,158,0
A0869662,Bounsweet,Yes,C32400BD,A4D4FE45,Fire,25,31,18,3,31,9,Oblivious,Bold,Female,79,136,158,0
AC4D9D38,Combee,Yes,CEEB0793,DBB86BA2,Flying,21,27,31,28,30,23,Honey Gather,Impish,Male,97,135,158,0
AE57C7C0,Swablu,Yes,D0F5321B,F2BA1B56,Electric,31,26,27,13,26,25,Natural Cure,Calm,Female,197,48,158,0
B30CAA20,Flittle,Yes,D5AA147B,DBCAF2A9,Psychic,31,18,10,14,7,9,Anticipation,Careful,Male,143,121,158,0
C1D2869D,Dunsparce (Common),Yes,E46FF0F8,1FF9E292,Flying,31,23,15,14,8,31,Run Away,Bashful,Female,121,113,158,0
C2352F60,Tadbulb,Yes,E4D299BB,8529EF35,Dark,31,20,16,5,6,31,Own Tempo,Impish,Female,104,124,158,0
C664DB30,Pichu,Yes,E902458B,4A0413CC,Grass,15,9,28,25,9,31,Static,Gentle,Male,80,171,158,0
D2EF5BF4,Igglybuff,Yes,F58CC64F,7A1C904B,Dragon,9,2,26,31,29,12,Cute Charm,Quirky,Female,109,151,158,0
D480E6E2,Rockruff,Yes,F71E513D,EE10B999,Ice,27,31,14,22,16,24,Keen Eye,Hasty,Male,81,177,158,0
D637AFCF,Shellder,Yes,F8D51A2A,A0AA066D,Water,31,17,10,16,31,20,Shell Armor,Timid,Female,146,123,158,0
DA17C0C8,Tynamo,Yes,FCB52B23,2452136B,Poison,27,14,31,9,21,28,Levitate,Quirky,Female,187,149,158,0
DD16C161,Hatenna,Yes,FFB42BBC,2E397DC9,Fire,31,17,7,29,17,10,Anticipation,Naughty,Female,169,116,158,0
E23B6544,Nymble,Yes,04D8CF9F,E0103DC8,Steel,19,17,19,24,31,30,Swarm,Timid,Male,136,176,158,0
E5111E27,Wingull,Yes,07AE8882,3DEE779B,Flying,29,31,18,14,0,10,Keen Eye,Jolly,Male,179,70,158,0
EB364AA3,Dunsparce (Common),Yes,0DD3B4FE,B3816292,Fairy,29,18,8,3,31,31,Run Away,Gentle,Male,78,229,158,0
EEABC326,Shroomish,Yes,11492D81,AB89E414,Fighting,31,26,19,22,2,22,Poison Heal,Adamant,Male,151,130,158,0
F3A269B5,Flittle,Yes,163FD410,897807FC,Dark,2,17,31,14,8,14,Frisk,Rash,Female,179,46,158,0
F50922C9,Makuhita,Yes,17A68D24,2BBAF6A7,Ground,6,26,16,21,2,31,Guts,Jolly,Male,140,218,158,0
F624D2E2,Deerling,Yes,18C23D3D,78317D1D,Poison,23,18,21,31,16,8,Chlorophyll,Relaxed,Male,167,146,158,0
FF685643,Bounsweet,Yes,2205C09E,AE1C3385,Rock,5,15,26,15,28,31,Oblivious,Naughty,Female,147,122,158,0
